id,property_id,note_type,note_text,noted_at
note_001,prop_001,viewing_note,"Viewed the unit on a weekday evening around 6.45pm. Living room felt bright even without all lights switched on. The bay window area was useful as a work corner but the second bedroom felt tight after placing a queen bed. Air-con was cold and quiet. Kitchen cabinets looked serviceable but not new. I could hear some road noise from the balcony when the sliding door was open.",2026-06-10T10:15:00+08:00
note_002,prop_001,agent_comment,"Agent said the seller is relocating and wants a clean offer rather than a long negotiation. He mentioned there was an earlier offer slightly below 1.8M but it did not proceed. Agent estimated current rent could be around 6.6K to 7K depending on furnishing, but he did not show a signed tenancy example.",2026-06-10T10:18:00+08:00
note_003,prop_001,risk_note,"Need to verify if the asking price is above recent 2-bedroom transactions in the same project. High CBD appeal is good, but vacancy risk may increase if office leasing demand softens. Also check maintenance fee because high monthly costs will reduce net yield.",2026-06-10T10:20:00+08:00
note_004,prop_002,personal_reaction,"I liked the Marina One location more than expected. It feels premium and the garden area makes the development less cold than a typical CBD condo. However, the quantum is high and I felt nervous that I may be buying mainly because it looks impressive rather than because the numbers are strong.",2026-06-10T11:05:00+08:00
note_005,prop_002,rental_note,"Rental demand should be strong from expats and finance/tech workers who want to be close to Marina Bay, Raffles Place, and Downtown. Need to compare asking rent with actual rental contracts, not just portal asking rents. At 2.38M purchase price, even 7.8K monthly rent gives only a moderate gross yield.",2026-06-10T11:08:00+08:00
note_006,prop_002,location_note,"Very strong connectivity. Easy walk to Downtown MRT and the office core. Good for tenants who do not own a car. Weekend lifestyle is decent but not as relaxed as East Coast or Holland Village. I should consider whether my target tenant is professional single/couple rather than family.",2026-06-10T11:10:00+08:00
note_007,prop_003,viewing_note,"The Reflections unit felt spacious compared with the newer 2-bed options I viewed. The living room and balcony were comfortable. Bedrooms had better proportions. Some parts of the common areas looked a little dated, though still maintained. I need to check if the view premium is truly reflected in rental demand.",2026-06-10T12:30:00+08:00
note_008,prop_003,risk_note,"Concern is liquidity and price volatility. The project is iconic but unusual, so comparable units may vary a lot by stack, view, and layout. Need to check how many similar 3-bed units actually transacted in the last 12 months and whether sellers had to discount.",2026-06-10T12:35:00+08:00
note_009,prop_003,agent_comment,"Agent emphasized waterfront lifestyle and said tenants from the HarbourFront and Sentosa area like this project. He said owner can include furniture if buyer wants to rent it out immediately. He was less specific when I asked for recent transaction evidence for this exact stack.",2026-06-10T12:38:00+08:00
note_010,prop_004,personal_reaction,"The Interlace felt very liveable and calmer than many city-fringe condos. I liked the greenery and facilities. My hesitation is that the architecture is distinctive and may not appeal to every future buyer. I personally liked it, but I am not sure if that should drive an investment decision.",2026-06-10T13:15:00+08:00
note_011,prop_004,location_note,"Depot Road is peaceful but not the most convenient if relying only on MRT. Bus connections are acceptable, but tenants who want immediate train access may prefer Queenstown, Commonwealth, or HarbourFront. Good for families or tenants with cars.",2026-06-10T13:18:00+08:00
note_012,prop_004,rental_note,"Estimated rent around 6.1K seems plausible for the size, but I should verify against actual rental contracts. If maintenance fee is high, net yield may be meaningfully lower than gross yield. Larger unit size may attract families, but rental turnover could be slower.",2026-06-10T13:20:00+08:00
note_013,prop_005,viewing_note,"D'Leedon unit was bright and the high-floor view helped the space feel bigger. Layout was efficient for a 3-bedder, though one bedroom works better as a study than a full bedroom. Common facilities looked extensive. Lift lobby and corridors were acceptable but not luxury-grade.",2026-06-10T14:00:00+08:00
note_014,prop_005,agent_comment,"Agent said there are many transactions in the project, so pricing should be easy to benchmark. He claimed seller is open to offers if buyer can exercise quickly. He also mentioned tenants like the Farrer Road location because it is near Holland, Botanic Gardens, and schools.",2026-06-10T14:04:00+08:00
note_015,prop_005,risk_note,"Large project means many competing listings. Need to check whether there are cheaper similar-size units available. If buying for rental, avoid overpaying for view or renovation unless rent premium is proven. Also verify if the high-floor premium is supported by caveats.",2026-06-10T14:08:00+08:00
note_016,prop_006,personal_reaction,"The Trizon felt more private and spacious than the mass-market projects. I liked the freehold status and larger rooms. But the purchase price is high and the rental yield will likely be weaker. This may be a capital-preservation play rather than a yield play.",2026-06-10T15:10:00+08:00
note_017,prop_006,rental_note,"Rent estimate around 7.6K may be realistic for a larger District 10 unit, but the 2.85M price keeps gross yield low. Need to compare against D'Leedon and other leasehold alternatives to see whether freehold premium is worth the lower yield.",2026-06-10T15:13:00+08:00
note_018,prop_006,risk_note,"Main risk is opportunity cost. Freehold sounds attractive, but if capital growth is slow and rental yield is below alternatives, holding cost may be painful. Need to model interest rate sensitivity and possible exit after 5 to 8 years.",2026-06-10T15:15:00+08:00
note_019,prop_007,viewing_note,"Stirling Residences unit was compact but efficient. No obvious wasted corridor space. The living area can fit a small dining setup and sofa, but storage may be limited. Bedrooms are acceptable for rental but I would not call them generous. Overall condition looked move-in ready.",2026-06-10T16:05:00+08:00
note_020,prop_007,location_note,"Queenstown location is a major plus. Close enough to city but still residential. MRT access should help tenant demand. Nearby amenities are practical rather than fancy. I can see this working well for professional couples or small families.",2026-06-10T16:08:00+08:00
note_021,prop_007,rental_note,"If monthly rent is close to 5.8K, the yield looks more attractive than many CCR options. Need to check actual rental contracts for similar 2-bed units and whether new nearby supply could cap rent growth.",2026-06-10T16:10:00+08:00
note_022,prop_008,personal_reaction,"Commonwealth Towers feels like a practical investment candidate. It is not emotionally exciting, but the MRT proximity and lower quantum make the numbers easier to understand. I should not dismiss it just because the unit is compact.",2026-06-10T16:45:00+08:00
note_023,prop_008,viewing_note,"The unit felt smaller than the floor area suggests, especially around the dining area. Kitchen was tidy and easy to maintain. Noise level was acceptable during viewing. The high-density feel of the project was noticeable at the lobby.",2026-06-10T16:48:00+08:00
note_024,prop_008,risk_note,"Risk is that compact 2-bedders may face many substitutes in Queenstown and nearby city-fringe projects. Need to compare price PSF, rent PSF, and transaction volume. Also check whether the current asking price leaves any margin of safety.",2026-06-10T16:51:00+08:00
note_025,prop_009,location_note,"Parc Esta has strong transport convenience because it is near Eunos MRT and not too far from East Coast. Surrounding area feels more practical than premium. Tenant pool could include city workers, airport-related workers, and East Coast residents wanting newer facilities.",2026-06-10T17:20:00+08:00
note_026,prop_009,agent_comment,"Agent said owner is not desperate but willing to consider reasonable offers. He said rent above 5K is achievable for a nicely furnished 2-bedder, but I should verify against actual contracts because portal asking rents may be optimistic.",2026-06-10T17:23:00+08:00
note_027,prop_009,rental_note,"At 1.42M and estimated 5K rent, gross yield looks decent. Need to subtract maintenance, property tax, agent commission, and vacancy assumptions to see net yield. It may still rank well if recent resale prices are stable.",2026-06-10T17:25:00+08:00
note_028,prop_010,viewing_note,"Seaside Residences unit had a pleasant bright feel and the project facilities looked modern. The East Coast lifestyle appeal is obvious. I need to check whether the unit is paying too much for lifestyle premium versus actual rent achievable.",2026-06-10T18:00:00+08:00
note_029,prop_010,personal_reaction,"I liked this unit for own-stay more than investment. It made me imagine weekends near the park and food options nearby. But that emotional reaction may make me underweight the leasehold price and rental-yield math.",2026-06-10T18:03:00+08:00
note_030,prop_010,risk_note,"Check exposure to future supply in the East Coast area. Also check whether high-floor or sea-facing premium creates a resale advantage or just increases entry price. Need transaction comparison by stack/floor if available.",2026-06-10T18:05:00+08:00
note_031,prop_011,rental_note,"Amber Park rent estimate around 6.5K may be achievable for a premium freehold East Coast 2-bedder, but the 2.45M price means gross yield is compressed. The investment thesis needs to rely on freehold scarcity and long-term value, not yield alone.",2026-06-10T18:40:00+08:00
note_032,prop_011,risk_note,"Risk is overpaying for new freehold status. Need to compare with older freehold East Coast projects and newer leasehold projects. Also check whether tenants are willing to pay enough premium for Amber Park specifically.",2026-06-10T18:42:00+08:00
note_033,prop_011,agent_comment,"Agent emphasized freehold, new facilities, and Katong/East Coast lifestyle. He said seller is not in a hurry. He suggested rental demand from families and expats, but no detailed rental contract examples were provided.",2026-06-10T18:45:00+08:00
note_034,prop_012,location_note,"Sky Vue location is very strong for daily convenience. Bishan MRT interchange, Junction 8, and central positioning make it easy to explain to future tenants and buyers. This may support both liquidity and rentability.",2026-06-10T19:15:00+08:00
note_035,prop_012,viewing_note,"The unit was efficient but definitely compact. Good light and view from high floor. Kitchen was small but acceptable for tenant profile. I should check if there is enough storage and whether air-con compressors are due for replacement.",2026-06-10T19:18:00+08:00
note_036,prop_012,personal_reaction,"This feels like a sensible shortlist property. Not the biggest or most beautiful, but the location gives me confidence. I would rank it high if the asking price is close to recent transactions and rental contracts support the estimate.",2026-06-10T19:20:00+08:00
note_037,prop_013,viewing_note,"The Minton unit felt much more spacious than the newer compact 2-bedders. Living and dining areas were comfortable. Facilities were extensive. However, the overall project felt older and less premium. I need to decide whether space is more important than transport convenience.",2026-06-10T20:00:00+08:00
note_038,prop_013,location_note,"Hougang location may limit tenant profile compared with Queenstown, Bishan, or CBD. Good for families who want space, but less obvious for expat rental demand. Need to check nearby MRT travel time and actual rental contract volume.",2026-06-10T20:03:00+08:00
note_039,prop_013,risk_note,"Lower PSF looks attractive, but exit liquidity may be slower if many buyers prefer newer or more central projects. Need to compare the lower entry price against potentially weaker capital growth and rental demand.",2026-06-10T20:05:00+08:00
note_040,prop_014,location_note,"J Gateway is easy to understand as a Jurong East regional-centre play. MRT, malls, offices, and future Jurong developments may support demand. Need to avoid over-assuming future upside that is already priced in.",2026-06-10T20:35:00+08:00
note_041,prop_014,rental_note,"Estimated rent around 5K looks reasonable for a compact 2-bedder near Jurong East. Need to compare rent against similar units in the same project and nearby developments. If purchase price stays near 1.45M, gross yield could be competitive.",2026-06-10T20:38:00+08:00
note_042,prop_014,personal_reaction,"This is more of a numbers candidate than an emotional favourite. I would not choose it for own-stay, but it may be strong for rental because tenants can immediately understand the convenience.",2026-06-10T20:40:00+08:00
note_043,prop_015,viewing_note,"Eight Riversuites unit looked tidy and functional. The area felt convenient enough, but not premium. Layout was acceptable for a 2-bedder. I noticed some traffic noise outside, so need to revisit at a different time of day.",2026-06-10T21:05:00+08:00
note_044,prop_015,agent_comment,"Agent said the seller is open to negotiation because they have already bought another place. He said rental demand comes from tenants who want city-fringe access without paying central prices. He estimated 4.5K to 4.7K monthly rent.",2026-06-10T21:08:00+08:00
note_045,prop_015,risk_note,"Need to confirm whether Whampoa/Boon Keng rental demand is deep enough for quick tenant replacement. Asking price seems approachable, but resale upside may depend heavily on buying below comparable transactions.",2026-06-10T21:10:00+08:00
